                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4263,                 10.875,                 1.4316,                0.60073,                0.90274,                0.76157,                0.50466,                0.94215,                 14.298,                 1.1664,                0.00032,                0.00032,                0.00032
                      2,                  1.004,                 2.4053,                 1.2013,                0.66493,                 0.2125,                 0.2544,                0.20681,                 1.0428,                 3.8573,                 1.1769,             0.00065967,             0.00065967,             0.00065967
                      3,                 1.0064,                 1.3428,                 1.1562,                0.80919,                0.79517,                0.86656,                0.53695,                 1.2128,                  1.361,                 1.4734,             0.00099901,             0.00099901,             0.00099901
                      4,                0.98213,                0.90791,                 1.1492,                0.81554,                   0.75,                0.85204,                0.58344,                 1.0533,                 2.9196,                 1.3754,               0.001338,               0.001338,               0.001338
                      5,                 1.0579,                0.99802,                 1.2145,                 0.0791,                    0.3,                0.05425,                0.02382,                   3.14,                 9.0306,                 4.1003,              0.0016767,              0.0016767,              0.0016767
                      6,                 1.0405,                0.97206,                 1.2096,                 0.0791,                    0.3,                0.05425,                0.02382,                 4.2996,                    inf,                 5.5599,              0.0019951,              0.0019951,              0.0019951
                      7,                 1.0409,                 1.0985,                  1.242,                0.00025,                  0.075,                0.00013,                  4e-05,                 4.5588,                    inf,                 5.3911,              0.0019941,              0.0019941,              0.0019941
                      8,                 1.0627,                0.86877,                 1.2131,                0.44425,                    0.4,                0.43617,                0.31477,                 1.3169,                 2.4824,                 1.5467,              0.0019931,              0.0019931,              0.0019931
                      9,                0.99222,                0.72695,                 1.2123,                 0.8723,                0.93926,                0.95866,                0.69435,                0.87621,                 3.0477,                 1.2939,              0.0019921,              0.0019921,              0.0019921
                     10,                   0.94,                0.71443,                 1.1769,                0.72451,                 0.5875,                0.65116,                 0.4551,                 1.2538,                 7.1126,                 1.5198,              0.0019911,              0.0019911,              0.0019911
                     11,                0.94491,                0.71192,                 1.1475,                 0.7691,                0.58297,                0.69692,                0.51318,                 1.0541,                 4.6234,                 1.4411,              0.0019901,              0.0019901,              0.0019901
                     12,                 1.0012,                0.78036,                 1.1746,                0.92593,                 0.8625,                0.92994,                0.62266,                 1.1251,                  1.961,                 1.5674,              0.0019891,              0.0019891,              0.0019891
                     13,                0.96401,                0.67421,                  1.188,                0.78781,                 0.8125,                0.87648,                0.64376,                 1.0424,                 2.4647,                 1.3127,              0.0019881,              0.0019881,              0.0019881
